wenig,ˈveːnɪç,weniger,ˈveːnɪɡɐ,wenigsten,ˈveːnɪçstn̩,
sauer,ˈzaʊ̯ɐ,sau[r]er,ˈzaʊ̯ʁɐ,sauersten,ˈzaʊ̯ɐstn̩,Sinneseindruck:Geschmacksrichtung
teuer,ˈtɔɪ̯ɐ,teu[r]er,ˈtɔɪ̯ʁɐ,teuersten,ˈtɔɪ̯ɐstn̩,*
falsch,falʃ,-,-,-,-,de.la
rot,ʁoːt,röter/roter,ˈʁøːtɐ/ˈʁoːtɐ,rötesten/rotesten,ˈʁøːtəstn̩/ˈʁoːtəstn̩,de
zäh,t͡sɛː,zäher,ˈt͡sɛːɐ,zähsten/zähesten,ˈt͡sɛːstn̩/ˈt͡sɛːəstn̩,de
scharf,ʃaʁf,schärfer,ˈʃɛʁfɐ,schärfsten,ˈʃɛʁfstn̩,Sinneseindruck:Geschmacksrichtung
schwach,ʃvax,schwächer,ˈʃvɛçɐ,schwächsten,ˈʃvɛçstn̩,*
leise,ˈlaɪ̯zə,leiser,ˈlaɪ̯zɐ,leisesten,ˈlaɪ̯zəstn̩,de
undeutlich,ˈʊnˌdɔɪ̯tlɪç,undeutlicher,ˈʊnˌdɔɪ̯tlɪçɐ,undeutlichsten,ˈʊnˌdɔɪ̯tlɪçstn̩,Ableitung.un-
deutlich,ˈdɔɪ̯tlɪç,deutlicher,ˈdɔɪ̯tlɪçɐ,deutlichsten,ˈdɔɪ̯tlɪçstn̩,Ableitung.Konversion
letzte,ˈlɛt͡stə,-,-,-,-,nur attributiv
rund,ʁʊnt,runder,ˈʁʊndɐ,rundesten,ˈʁʊndəstn̩,de.la
italienische,ˌitaˈli̯eːnɪʃ,italienischer,ˌitaˈli̯eːnɪʃɐ,italienischsten,ˌitaˈli̯eːnɪʃstn̩,Ableitung.-isch
französisch,fʁanˈt͡søːzɪʃ,französischer,fʁanˈt͡søːzɪʃɐ,französischsten,fʁanˈt͡søːzɪʃstn̩,Ableitung.-isch
indisch,ˈɪndɪʃ,indischer,ˈɪndɪʃɐ,indischsten,ˈɪndɪʃstn̩,Ableitung.-isch
thailändisch,ˈtaɪ̯lɛndɪʃ,-,-,-,-,Ableitung.-isch
mexikanisch,mɛksiˈkaːnɪʃ,mexikanischer,mɛksiˈkaːnɪʃɐ,mexikanischsten,mɛksiˈkaːnɪʃstn̩,Ableitung.-isch
russisch,ˈʁʊsɪʃ,russischer,ˈʁʊsɪʃɐ,russischsten,ˈʁʊsɪʃstn̩,Ableitung.-isch
interessant,ɪntəʁɛˈsant,interessanter,ɪntəʁɛˈsantɐ,interessantesten,ɪntəʁɛˈsantəstn̩,Lehnwort.fr
geöffnet,ɡəˈʔœfnət,-,-,-,-,Ableitung.Konversion
spanisch,ˈʃpaːnɪʃ,spanischer,ˈʃpaːnɪʃɐ,spanischsten,ˈʃpaːnɪʃstn̩,Ableitung.-isch
