Verb,IPA,regelmaßig,trennbar,ich.PS.I,du.PS.I,er/sie/es.PS.I,wir.PS.I,ihr.PS.I,sie/Sie.PS.I,ich.PS.K,du.PS.K,er/sie/es.PS.K,wir.PS.K,ihr.PS.K,sie/Sie.PS.K,ich.PT.I,du.PT.I,er/sie/es.PT.I,wir.PT.I,ihr.PT.I,sie/Sie.PT.I,ich.PT.K,du.PT.K,er/sie/es.PT.K,wir.PT.K,ihr.PT.K,sie/Sie.PT.K,Perfekt,Hilfsverb,Typs
bedienen,bəˈdiːnən,True,TRENNBAR,bediene,bedienst,bedient,bedienen,bedient,bedienen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
untersuchen,ˌʊntɐˈzuːxn̩,True,TRENNBAR,untersuche,untersuchst,untersucht,untersuchen,untersucht,untersuchen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,untersucht,haben,*
entwickeln,ɛntˈvɪkl̩n,True,TRENNBAR,entwickele,entwickelst,entwickelt,entwickeln,entwickelt,entwickeln,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,entwickelt,haben,Ableitung.en-
unterrichten,ˌʊntɐˈʁɪçtn̩,True,False,unterrichte,unterrichtest,unterrichtet,unterrichten,unterrichtet,unterrichten,ICH,DU,ERSIEES,WIR,IHR,SIE,unterrichtete,unterrichtetest,unterrichtete,unterrichteten,unterrichtetet,unterrichteten,ICH,DU,ERSIEES,WIR,IHR,SIE,unterrichtet,haben,*
präsentieren,pʁɛzɛnˈtiːʁən,True,Not,präsentiere,präsentierst,präsentiert,präsentieren,präsentiert,präsentieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,präsentiert,haben,Lehnwort.fr
konstruieren,kɔnstʁuˈiːʁən,True,TRENNBAR,konstruiere,konstruierst,konstruiert,konstruieren,konstruiert,konstruieren,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,konstruiert,haben,*
besprechen,bəˈʃpʁɛçn̩,False,TRENNBAR,bespreche,besprichst,bespricht,besprechen,besprecht,besprechen,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
haben,ˈhaːbn̩,False,Not,habe,[ha]st,[ha]t,haben,habt,haben,ICH,DU,ERSIEES,WIR,IHR,SIE,h[at]te,h[at]test,h[at]te,h[at]ten,h[at]tet,h[at]ten,h[ät]te,h[ät]test,h[ät]te,h[ät]ten,h[ät]tet,h[ät]ten,PERFEKT,HILFSVERB,de
leiten,ˈlaɪ̯tn̩,True,TRENNBAR,leite,leitest,leitet,leiten,leitet,leiten,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
einleiten,ˈaɪ̯nˌlaɪ̯tn̩,True,TRENNBAR,einleite,einleitest,einleitet,einleiten,einleitet,einleiten,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,ICH,DU,ERSIEES,WIR,IHR,SIE,PERFEKT,HILFSVERB,*
